Date,SBL,SBL_S,Price
4/3,8507,7777,364
4/8,8562,7847,367.5
4/9,8534,7837,359.5
4/10,8472,7827,353.5
4/11,8265,7804,356
4/12,8271,7759,360
4/15,7978,7755,337.5
4/16,7596,7381,327
4/17,7562,7430,335
4/18,7618,7495,364
4/19,7484,7301,351.5
4/22,8125,7428,333.5
4/23,8519,7733,329
4/24,8719,7839,361.5
4/25,8824,7989,368
4/26,9300,8235,383.5
4/29,9324,8242,394
4/30,9340,8260,433
5/2,8582,7832,423
5/3,9365,8084,417
5/6,9045,7504,412
5/7,8809,7525,409
5/8,7865,7413,414.5
5/9,8583,7139,425
5/10,6991,6665,422.5
5/13,6862,6526,424
5/14,6879,6542,429
5/15,6859,6545,427
5/16,6822,6509,437
5/17,6769,6457,442.5
5/20,6774,6442,427
5/21,6690,6374,436
5/22,6252,5941,439
5/23,6107,5775,478
5/24,5898,5700,495
5/27,5976,5736,511
5/28,6539,5330,496
5/29,5565,5337,498.5
5/30,6449,5348,501
5/31,5786,5302,500
6/3,5199,4741,491
6/4,5174,4715,504
6/5,5131,4676,468
6/6,5124,4702,479.5
6/7,5121,4695,492
6/11,5071,4682,475
6/12,4816,4628,478
6/13,4818,4620,487
6/14,4794,4617,505
6/17,4858,4685,504
6/18,5889,4904,474.5
6/19,5657,4887,470
6/20,5764,4763,482
6/21,5636,4691,464
6/24,5960,4735,464
6/25,5956,4713,469
6/26,5816,4578,486.5
6/27,5806,4543,474
6/28,5697,4433,482
7/1,6162,4894,450
7/2,5873,4796,464
7/3,5899,4842,492
7/4,5481,4737,482.5
7/5,5377,4667,490
7/8,5901,4723,475
7/9,5547,4603,473
7/10,5213,4266,468.5
7/11,5250,4241,461.5
7/12,5070,4119,454
